Disease,Question,Category,Answer
Bronchiolitis,Treatment,How do doctors manage cases of Bronchiolitis in pediatric care?,"Treatment is supportive, including nasal suctioning, hydration, and oxygen therapy if needed. Most cases are managed at home, but severe cases may require hospitalization. Bronchodilators and corticosteroids are not routinely recommended unless there is an underlying reactive airway disease."
Tuberculosis in Children,Aetiology,What causes Tuberculosis in Children in children?,Tuberculosis (TB) in children is caused by infection with Mycobacterium tuberculosis. It is usually acquired through inhalation of airborne droplets from an infected adult. Young children and infants are particularly vulnerable due to their immature immune systems.
Congenital Pulmonary Airway Malformation (CPAM),Treatment,What medications or therapies are used to manage Congenital Pulmonary Airway Malformation (CPAM) in children?,"Treatment depends on the size and symptoms. Asymptomatic cases are monitored, while symptomatic or large lesions may require surgical resection (lobectomy). Prenatal interventions like thoracoamniotic shunting may be considered in severe cases detected during pregnancy."
Tuberculosis in Children,Treatment,What is the recommended management protocol for children with Tuberculosis in Children?,"Treatment involves a combination of anti-tuberculosis drugs given over 6–9 months. The standard regimen includes isoniazid, rifampin, pyrazinamide, and ethambutol. Adherence to therapy is crucial to avoid drug resistance. Severe or extrapulmonary TB may require extended treatment and corticosteroids."
Bronchiolitis,Aetiology,What causes Bronchiolitis in children?,"Bronchiolitis is a common lower respiratory tract infection in infants, primarily caused by respiratory syncytial virus (RSV). Other viruses like rhinovirus, adenovirus, and influenza can also be responsible. It affects the small airways, leading to inflammation, swelling, and mucus production."
Tuberculosis in Children,Symptoms,What are common clinical features of Tuberculosis in Children in infants and children?,"Symptoms may include a persistent cough, fever, weight loss, night sweats, fatigue, and swollen lymph nodes. Infants and younger children may also present with poor growth, irritability, and signs of disseminated TB like meningitis or miliary TB."
Congenital Pulmonary Airway Malformation (CPAM),Treatment,What is the standard treatment for pediatric Congenital Pulmonary Airway Malformation (CPAM)?,"Treatment depends on the size and symptoms. Asymptomatic cases are monitored, while symptomatic or large lesions may require surgical resection (lobectomy). Prenatal interventions like thoracoamniotic shunting may be considered in severe cases detected during pregnancy."
Tuberculosis in Children,Symptoms,How does Tuberculosis in Children present clinically in pediatric patients?,"Symptoms may include a persistent cough, fever, weight loss, night sweats, fatigue, and swollen lymph nodes. Infants and younger children may also present with poor growth, irritability, and signs of disseminated TB like meningitis or miliary TB."
Bronchiolitis,Symptoms,What are the symptoms of Bronchiolitis in children?,"Symptoms include a runny nose, cough, wheezing, difficulty breathing, rapid breathing, and feeding difficulties. Infants may also show signs of irritability, apnea, and chest retractions. Symptoms typically worsen over 3–5 days before improving."
Congenital Pulmonary Airway Malformation (CPAM),Treatment,How do doctors manage cases of Congenital Pulmonary Airway Malformation (CPAM) in pediatric care?,"Treatment depends on the size and symptoms. Asymptomatic cases are monitored, while symptomatic or large lesions may require surgical resection (lobectomy). Prenatal interventions like thoracoamniotic shunting may be considered in severe cases detected during pregnancy."
Tuberculosis in Children,Treatment,What medications or therapies are used to manage Tuberculosis in Children in children?,"Treatment involves a combination of anti-tuberculosis drugs given over 6–9 months. The standard regimen includes isoniazid, rifampin, pyrazinamide, and ethambutol. Adherence to therapy is crucial to avoid drug resistance. Severe or extrapulmonary TB may require extended treatment and corticosteroids."
Pneumonia in Children,Aetiology,What are the underlying causes of Pneumonia in Children in pediatric patients?,"Pneumonia in children is most commonly caused by infectious agents such as viruses, bacteria, and, less frequently, fungi. Common viral causes include respiratory syncytial virus (RSV), influenza, and adenovirus, while bacterial pneumonia is frequently caused by Streptococcus pneumoniae, Haemophilus influenzae type b (Hib), and Staphylococcus aureus. The risk increases in children with weakened immune systems, malnutrition, or exposure to environmental pollutants and secondhand smoke."
Pulmonary Hypertension in Pediatrics,Treatment,How is Pulmonary Hypertension in Pediatrics treated in children?,"Management includes treating the underlying cause and using medications like endothelin receptor antagonists, phosphodiesterase-5 inhibitors (e.g., sildenafil), and prostacyclin analogs. Supportive care includes oxygen therapy, diuretics, and in some cases, heart-lung transplantation."
Pulmonary Hypertension in Pediatrics,Symptoms,What signs should parents look for in a child with Pulmonary Hypertension in Pediatrics?,"Symptoms include shortness of breath, fatigue, chest pain, syncope, and poor growth. Infants may present with failure to thrive and cyanosis. As the condition worsens, signs of right heart failure such as edema and hepatomegaly may appear."
Pneumonia in Children,Symptoms,What signs should parents look for in a child with Pneumonia in Children?,"Children with pneumonia may present with fever, cough, fast breathing, chest indrawing, nasal flaring, grunting, and crackles on auscultation. In severe cases, cyanosis, lethargy, refusal to feed, and difficulty breathing may occur. Infants may have subtle signs like irritability and vomiting."
Pneumonia in Children,Treatment,How do doctors manage cases of Pneumonia in Children in pediatric care?,"Treatment depends on the cause and severity. Mild viral pneumonia may resolve with supportive care, including fluids, rest, and antipyretics. Bacterial pneumonia requires antibiotics such as amoxicillin or macrolides. Severe cases may require hospitalization, oxygen therapy, and intravenous antibiotics."
Pulmonary Hypertension in Pediatrics,Treatment,How do doctors manage cases of Pulmonary Hypertension in Pediatrics in pediatric care?,"Management includes treating the underlying cause and using medications like endothelin receptor antagonists, phosphodiesterase-5 inhibitors (e.g., sildenafil), and prostacyclin analogs. Supportive care includes oxygen therapy, diuretics, and in some cases, heart-lung transplantation."
Tuberculosis in Children,Aetiology,Can you explain the aetiology of Tuberculosis in Children?,Tuberculosis (TB) in children is caused by infection with Mycobacterium tuberculosis. It is usually acquired through inhalation of airborne droplets from an infected adult. Young children and infants are particularly vulnerable due to their immature immune systems.
Tuberculosis in Children,Aetiology,How do children typically develop Tuberculosis in Children?,Tuberculosis (TB) in children is caused by infection with Mycobacterium tuberculosis. It is usually acquired through inhalation of airborne droplets from an infected adult. Young children and infants are particularly vulnerable due to their immature immune systems.
Congenital Pulmonary Airway Malformation (CPAM),Aetiology,What are the underlying causes of Congenital Pulmonary Airway Malformation (CPAM) in pediatric patients?,"CPAM is a congenital abnormality of lung development characterized by cystic or solid overgrowth of abnormal lung tissue. The exact cause is unknown, but it results from abnormal embryonic development of the terminal bronchioles during the first trimester."
Congenital Pulmonary Airway Malformation (CPAM),Symptoms,How can I recognize Congenital Pulmonary Airway Malformation (CPAM) in a child?,"Symptoms can range from none to severe respiratory distress at birth. Common signs include tachypnea, cyanosis, decreased breath sounds, and mediastinal shift. Some cases are detected prenatally via ultrasound showing lung masses or cysts."
Pulmonary Hypertension in Pediatrics,Symptoms,What are the symptoms of Pulmonary Hypertension in Pediatrics in children?,"Symptoms include shortness of breath, fatigue, chest pain, syncope, and poor growth. Infants may present with failure to thrive and cyanosis. As the condition worsens, signs of right heart failure such as edema and hepatomegaly may appear."
Congenital Pulmonary Airway Malformation (CPAM),Treatment,How is Congenital Pulmonary Airway Malformation (CPAM) treated in children?,"Treatment depends on the size and symptoms. Asymptomatic cases are monitored, while symptomatic or large lesions may require surgical resection (lobectomy). Prenatal interventions like thoracoamniotic shunting may be considered in severe cases detected during pregnancy."
Bronchiolitis,Aetiology,Can you explain the aetiology of Bronchiolitis?,"Bronchiolitis is a common lower respiratory tract infection in infants, primarily caused by respiratory syncytial virus (RSV). Other viruses like rhinovirus, adenovirus, and influenza can also be responsible. It affects the small airways, leading to inflammation, swelling, and mucus production."
Pulmonary Hypertension in Pediatrics,Symptoms,How can I recognize Pulmonary Hypertension in Pediatrics in a child?,"Symptoms include shortness of breath, fatigue, chest pain, syncope, and poor growth. Infants may present with failure to thrive and cyanosis. As the condition worsens, signs of right heart failure such as edema and hepatomegaly may appear."
Pneumonia in Children,Symptoms,How can I recognize Pneumonia in Children in a child?,"Children with pneumonia may present with fever, cough, fast breathing, chest indrawing, nasal flaring, grunting, and crackles on auscultation. In severe cases, cyanosis, lethargy, refusal to feed, and difficulty breathing may occur. Infants may have subtle signs like irritability and vomiting."



